system	tier	n_songs	edit_rate	note_count_ratio	backbone_recall	inconsistency_rate	intrinsic_d_divergence
ours-model	hard	99	0.139664	1.009334	0.921608	0.006384	-0.002459
ours-model	medium	99	0.156829	0.995398	0.940565	0.006384	+0.015932
ours-model	easy	99	0.239042	1.024746	0.933452	0.006272	+0.001174
ours-model	pooled	297	0.170314	1.008752			
ours-scorecard	hard	99	0.190677	0.963586	0.853469	0.006384	-0.057101
ours-scorecard	medium	99	0.209019	0.979174	0.919832	0.006496	+0.011280
ours-scorecard	easy	99	0.296587	1.077488	0.933969	0.006272	+0.038586
ours-scorecard	pooled	297	0.223357	0.997402			
hopcat	hard	99	0.256346	1.118198	0.937096	0.000448	-0.032910
hopcat	medium	99	0.382072	0.914764	0.908478	0.000560	-0.013459
hopcat	easy	99	0.746199	0.407175	0.208566	0.002464	-0.128537
hopcat	pooled	297	0.420644	0.872987			
onyx	hard	99	0.250648	1.046746	0.908023	0.020383	-0.053977
onyx	medium	99	0.387110	0.839654	0.875831	0.023743	-0.022832
onyx	easy	99	0.554303	0.753634	0.955619	0.031023	-0.032272
onyx	pooled	297	0.371309	0.906045			
